chapter,qnum,question,answer
0,1,序章　社是の意義　教育をする側の教室の現状が、被教育側つまり子供たちに恐ろしいほど投影される。まさに「（　　　　）」そのものである。,鏡の原則
0,2,序章　基本理念　『全ては生徒の為に』　（　　　　）の教育者たれ,抜苦与楽
0,3,序章　基本理念　『全ては生徒の為に』　生徒の人生の（　　　　）たれ,応援団
0,4,序章　基本理念　『全ては生徒の為に』　自己研鑽を惜しまぬ（　　　　）な実践者たれ,愚直
0,5,序章　『協育』こそ、教育の原点　私たちの唱える『協育』の協とは、三つの力、すなわち「（　　　　）」と「保護者」と「本人」の力を意味する。,教育者
0,6,序章　『協育』こそ、教育の原点　私たちの唱える『協育』の協とは、三つの力、すなわち「教育者」と「（　　　　）」と「本人」の力を意味する。,保護者
0,7,序章　『協育』こそ、教育の原点　私たちの唱える『協育』の協とは、三つの力、すなわち「教育者」と「保護者」と「（　　　　）」の力を意味する。,本人
0,8,序章　『協育』こそ、教育の原点　本人の向上心を一つの方向に結集したときに「（　　　　）を最大限に発揮」できるのである。,潜在能力
0,9,序章　「教育の麻薬」にかかった瞬間（とき）　生徒に好かれ、（　　　　）されたと感じたとき。,信頼
0,10,序章　「教育の麻薬」にかかった瞬間（とき）　生徒が、自分の（　　　　）によって変化したと感じられたとき。,指導
0,11,序章　「教育の麻薬」にかかった瞬間（とき）　生徒の夢や目標を決める（　　　　）ができたとき。,手助け
0,12,序章　「教育の麻薬」にかかった瞬間（とき）　生徒の個人的な悩みを（　　　　）できたとき。,解決
0,13,序章　「教育の麻薬」にかかった瞬間（とき）　生徒から（　　　　）とされる存在になったとき。,必要
0,14,序章　「教育の麻薬」にかかった瞬間（とき）　生徒の人生に決定的な（　　　　）を与えられたとき。,影響
0,15,序章　「教育の麻薬」にかかった瞬間（とき）　生徒の人生に関わることができ、（　　　　）されたとき。,感謝
0,16,序章　「教育の麻薬」にかかった瞬間（とき）　生徒が（　　　　）を達成（志望校合格等）し、感謝されたとき。,目標
0,17,序章　「教育の麻薬」にかかった瞬間（とき）　生徒が、（　　　　）してからも自分を慕って教室に足を運んでくれたとき。,卒業
0,18,序章　「教育の麻薬」にかかった瞬間（とき）　生徒が、スタッフとして（　　　　）くれたとき。,戻ってきて
0,19,序章　興学教育の現場を支える三つの力　興学社が教育機関として追求する三つの力とはすなわち、（　　　　）力・営業力・イベント力である。,教務
0,20,序章　興学教育の現場を支える三つの力　興学社が教育機関として追求する三つの力とはすなわち、教務力・（　　　　）力・イベント力である。,営業
0,21,序章　興学教育の現場を支える三つの力　興学社が教育機関として追求する三つの力とはすなわち、教務力・営業力・（　　　　）力である。,イベント
0,22,序章　教育の本質とは何か　教育とは（　　　　）である　納得すれば必ず生徒は行動する。,説得力
0,23,序章　教育の本質とは何か　教育とは（　　　　）続けることである　激励によって勇気を与え期待を掛けること。,励まし
0,24,序章　教育の本質とは何か　教育とは（　　　　）である　教育環境を整えることが教育者の役割である。,環境
0,25,序章　教育の本質とは何か　教育とは（　　　　）である　すぐに明快な成果を求めても、それは対症療法的な結果であって、本質的な教育の成果ではない。,忍耐
0,26,序章　教育の本質とは何か　教育とは（　　　　）ものである　教育ほど困難な仕事はない。しかし教育ほど尊い仕事もない。,尊い
0,27,序章　教育の本質とは何か　教育とは（　　　　）が全てである　教育は人によってのみ成されるものであり、どのような優れた技術、仕組みも、それを扱う人の介在なしには機能しない。,人
0,28,序章　教育の本質とは何か　教育とは（　　　　）である　当たり前のことを当たり前にできるようにする、それが教育の第一歩である。,凡事徹底
0,29,序章　教育の本質とは何か　教育とは（　　　　）理論の実践である　メリットをいかに伝えられるか。それを納得させ、行動させられるか。何事にもメリットとデメリットが存在する。,メリット
0,30,序章　教育の本質とは何か　教育とは（　　　　）である　いかに途中経過の努力があっても、良い結果を示すことができなければ、それは教育成果とはならない。,結果
0,31,序章　教育の本質とは何か　教育とは（　　　　）である。愛情に裏打ちされた厳しさこそ、教育者の基本姿勢である。,厳しさ
0,32,序章　組織運営十大基本方針　努力や成果が（　　　　）に報われる組織,公平
0,33,序章　組織運営十大基本方針　（　　　　）が馬鹿を見ない組織,正直者
0,34,序章　組織運営十大基本方針　常に「（　　　　）の斗い」をし続ける組織,プラス1
0,35,序章　組織運営十大基本方針　全員が「教育は（　　　　）」と言える組織,ライフワーク
0,36,序章　組織運営十大基本方針　スタッフ一人ひとりが（　　　　）になれる組織,主役
0,37,序章　組織運営十大基本方針　「（　　　　）が一番」と堂々と言える組織,真面目
0,38,序章　組織運営十大基本方針　常に（　　　　）の原点に『興学思想』を置く組織,行動規範
0,39,序章　組織運営十大基本方針　「（　　　　）はどこにも負けない」と断言できる組織,愛社精神
0,40,序章　組織運営十大基本方針　「（　　　　）を実践し続けることは必然」と言える組織,社会貢献
0,41,序章　組織運営十大基本方針　「（　　　　）の教育機関」を目指すことに最大の価値を置く組織,日本一
1,42,第一章　理念編　興学社十訓　「（　　　　）の知」を自覚せよ。,無知
1,43,第一章　理念編　興学社十訓　青年時代は人生の（　　　　）作りに励め。,基盤
